,Ship Mode,Segment,Category,Sub-Category,State,City,New Price,Quantity,Discount,New Discount Price,NEW PROFIT,New Profit per quantity
29,Standard Class,Consumer,Technology,Machines,Texas,San Antonio,10519.944,8,0.05,525.9972,474.0028,59.25035
30,Standard Class,Consumer,Office Supplies,Storage,Texas,San Antonio,514.5627,3,0.05,25.728134999999998,154.27186499999993,51.42395499999998
31,Standard Class,Consumer,Furniture,Chairs,Texas,San Antonio,1944.918,9,0.05,97.2459,82.7541,9.194899999999999
32,Standard Class,Consumer,Office Supplies,Appliances,Texas,San Antonio,1231.829,5,0.05,61.59145,538.40855,107.68171
33,Standard Class,Corporate,Office Supplies,Appliances,Illinois,Chicago,783.568,2,0.05,39.1784,560.8216,280.4108
34,Second Class,Consumer,Office Supplies,Appliances,Texas,Houston,940.424,4,0.05,47.0212,552.9788,138.2447
35,Second Class,Consumer,Furniture,Chairs,Ohio,Newark,588.1392,7,0.05,29.406959999999998,150.59304,21.513291428571428
36,Second Class,Consumer,Office Supplies,Supplies,Ohio,Newark,199.6515,5,0.05,9.982575,170.017425,34.003485
37,Standard Class,Corporate,Office Supplies,Binders,Pennsylvania,Philadelphia,185.2046,2,0.05,9.26023,170.73977,85.369885
38,First Class,Consumer,Furniture,Tables,Colorado,Denver,980.625,2,0.05,49.03125,550.96875,275.484375
39,Second Class,Consumer,Office Supplies,Appliances,Texas,Dallas,845.2508,2,0.05,42.26254,557.73746,278.86873
40,Standard Class,Corporate,Furniture,Bookcases,Ohio,Medina,1296.773,5,0.05,64.83865,535.16135,107.03227
41,Standard Class,Corporate,Technology,Phones,Ohio,Medina,257.6778,3,0.05,12.883890000000001,167.11611,55.705369999999995
42,Standard Class,Corporate,Technology,Machines,Ohio,Medina,3138.4,9,0.05,156.92000000000002,843.0799999999999,93.67555555555555
43,First Class,Consumer,Office Supplies,Binders,Ohio,Dublin,213.6192,4,0.05,10.68096,169.31904,42.32976
44,First Class,Consumer,Technology,Machines,Ohio,Dublin,1463.9784,4,0.05,73.19892,526.8010799999998,131.70026999999996
45,Standard Class,Consumer,Furniture,Chairs,Tennessee,Columbia,369.8424,2,0.05,18.49212,161.50788,80.75394
46,Standard Class,Corporate,Office Supplies,Binders,North Carolina,Charlotte,211.07999999999998,7,0.05,10.554,169.446,24.20657142857143
47,Standard Class,Home Office,Furniture,Tables,Florida,Tampa,935.908,2,0.05,46.7954,553.2046,276.6023
48,Standard Class,Home Office,Furniture,Tables,Florida,Tampa,1468.8603,3,0.05,73.443015,526.5569849999999,175.518995
49,Standard Class,Home Office,Office Supplies,Binders,Florida,Tampa,188.88,2,0.05,9.444,170.556,85.278
50,Standard Class,Home Office,Furniture,Furnishings,Florida,Tampa,438.072,3,0.05,21.9036,158.0964,52.6988
51,Standard Class,Home Office,Technology,Accessories,Florida,Tampa,805.7007,3,0.05,40.285035,139.714965,46.571655
52,Second Class,Consumer,Furniture,Furnishings,Illinois,Chicago,1376.408,5,0.05,68.82039999999999,531.1795999999999,106.23592
53,Second Class,Consumer,Furniture,Furnishings,Illinois,Chicago,196.3632,3,0.05,9.81816,170.18184,56.72728
54,Second Class,Consumer,Furniture,Tables,Illinois,Chicago,897.738,5,0.05,44.886900000000004,555.1131,111.02262
55,Second Class,Consumer,Furniture,Furnishings,Illinois,Chicago,186.8748,3,0.05,9.34374,170.65626,56.88542
56,Standard Class,Corporate,Furniture,Furnishings,Illinois,Chicago,200.6244,9,0.05,10.031220000000001,169.96878,18.88542
57,Standard Class,Corporate,Office Supplies,Storage,Illinois,Chicago,281.93039999999996,2,0.05,14.096519999999998,165.90347999999997,82.95173999999999
58,Standard Class,Corporate,Office Supplies,Appliances,Texas,Pasadena,186.09,2,0.05,9.3045,170.6955,85.34775
59,Second Class,Corporate,Technology,Machines,Texas,Houston,4569.978999999999,3,0.05,228.49894999999998,771.5010499999996,257.16701666666654
60,Second Class,Corporate,Technology,Machines,Texas,Houston,3371.9538000000002,7,0.05,168.59769000000003,431.40230999999994,61.62890142857142
61,Standard Class,Corporate,Office Supplies,Storage,Ohio,Cincinnati,224.6496,1,0.05,11.23248,168.76752,168.76752
62,Second Class,Consumer,Office Supplies,Binders,Texas,Houston,185.512,5,0.05,9.2756,170.7244,34.14488
63,Second Class,Corporate,Office Supplies,Binders,Florida,Tamarac,1023.4300000000001,7,0.05,51.17150000000001,548.8285,78.40407142857143
64,Second Class,Corporate,Office Supplies,Supplies,Florida,Tamarac,1765.7945,5,0.05,88.289725,511.710275,102.342055
65,Second Class,Home Office,Furniture,Bookcases,Ohio,Columbus,315.6732,3,0.05,15.783660000000001,164.21634,54.73878
66,First Class,Corporate,Furniture,Furnishings,Colorado,Colorado Springs,422.9166,3,0.05,21.145830000000004,158.85417,52.95139
67,First Class,Corporate,Office Supplies,Binders,Colorado,Colorado Springs,321.48,5,0.05,16.074,163.92600000000002,32.7852
68,Standard Class,Consumer,Furniture,Tables,Illinois,Chicago,950.52,3,0.05,47.526,552.474,184.15800000000002
69,First Class,Consumer,Technology,Phones,Pennsylvania,Philadelphia,538.7742,3,0.05,26.93871,153.06128999999999,51.02043
70,First Class,Consumer,Furniture,Chairs,Pennsylvania,Philadelphia,1645.2456,4,0.05,82.26228,517.73772,129.43443
71,First Class,Consumer,Office Supplies,Binders,Pennsylvania,Philadelphia,245.4576,6,0.05,12.27288,167.72712,27.954520000000002
72,Second Class,Consumer,Technology,Phones,Pennsylvania,Philadelphia,283.5,2,0.05,14.175,165.825,82.9125
73,Second Class,Consumer,Office Supplies,Binders,Pennsylvania,Philadelphia,214.54,2,0.05,10.727,169.273,84.6365
74,Second Class,Consumer,Office Supplies,Binders,Pennsylvania,Philadelphia,188.32319999999999,3,0.05,9.41616,170.58384,56.86128
75,Standard Class,Corporate,Furniture,Tables,California,San Francisco,895.8108,3,0.05,44.79054,135.20946,45.06982
76,Second Class,Corporate,Office Supplies,Binders,Pennsylvania,Philadelphia,1517.946,10,0.05,75.8973,524.1026999999999,52.41026999999999
77,Standard Class,Consumer,Office Supplies,Storage,Texas,Austin,271.02,4,0.05,13.551,166.449,41.61225
78,Standard Class,Consumer,Furniture,Bookcases,New York,New York City,573.5627999999999,6,0.05,28.67814,151.32185999999996,25.220309999999994
79,Standard Class,Consumer,Office Supplies,Binders,Arizona,Tucson,193.872,5,0.05,9.693600000000002,170.3064,34.06128
80,Standard Class,Consumer,Technology,Accessories,Arizona,Tucson,688.98,10,0.05,34.449000000000005,145.551,14.5551
81,Standard Class,Corporate,Furniture,Tables,Massachusetts,Franklin,2386.1088,7,0.05,119.30544,480.69456,68.67065142857143
82,Standard Class,Consumer,Office Supplies,Appliances,Texas,Houston,208.9842,3,0.05,10.44921,169.55079,56.51693
83,Standard Class,Consumer,Office Supplies,Binders,Texas,Houston,211.0488,4,0.05,10.55244,169.44756,42.36189
84,Standard Class,Consumer,Furniture,Tables,Florida,Pembroke Pines,1132.467,3,0.05,56.62335000000001,543.3766500000002,181.12555000000006
85,Standard Class,Consumer,Technology,Accessories,Florida,Pembroke Pines,265.02570000000003,3,0.05,13.251285000000003,166.74871500000003,55.58290500000001
86,Standard Class,Corporate,Technology,Machines,Pennsylvania,Philadelphia,1419.978,4,0.05,70.9989,529.0011,132.250275
87,Second Class,Corporate,Office Supplies,Binders,Illinois,Peoria,213.02429999999998,3,0.05,10.651215,169.348785,56.449594999999995
88,Second Class,Consumer,Furniture,Bookcases,Texas,Houston,3313.4184,4,0.05,165.67092000000002,434.32908,108.58227
89,Second Class,Consumer,Office Supplies,Storage,Texas,Houston,343.91999999999996,4,0.05,17.195999999999998,162.80399999999997,40.70099999999999
90,Standard Class,Consumer,Furniture,Tables,California,San Francisco,1716.9767,7,0.05,85.84883500000001,514.151165,73.45016642857142
91,Standard Class,Consumer,Furniture,Chairs,California,San Francisco,312.02279999999996,2,0.05,15.60114,164.39885999999998,82.19942999999999
92,Standard Class,Home Office,Office Supplies,Binders,North Carolina,Gastonia,934.9388,2,0.05,46.74694,553.25306,276.62653
93,Standard Class,Home Office,Office Supplies,Storage,North Carolina,Gastonia,185.5428,2,0.05,9.277140000000001,170.72286,85.36143
94,Standard Class,Consumer,Office Supplies,Binders,Florida,Jacksonville,188.5012,2,0.05,9.42506,170.57494,85.28747
95,Standard Class,Consumer,Technology,Accessories,Florida,Jacksonville,446.385,5,0.05,22.31925,157.68075,31.53615
96,Standard Class,Corporate,Furniture,Tables,Ohio,Akron,540.1944000000001,2,0.05,27.009720000000005,152.99028000000004,76.49514000000002
97,Standard Class,Consumer,Furniture,Chairs,California,Concord,333.86199999999997,2,0.05,16.693099999999998,163.30689999999998,81.65344999999999
98,Standard Class,Consumer,Furniture,Chairs,Illinois,Decatur,1023.6726,3,0.05,51.18363,128.81637,42.938790000000004
99,Standard Class,Home Office,Furniture,Tables,Arizona,Phoenix,3087.1132000000002,6,0.05,154.35566000000003,845.6443399999999,140.94072333333332
100,Standard Class,Home Office,Office Supplies,Binders,Arizona,Phoenix,229.374,5,0.05,11.4687,168.5313,33.70626
101,Standard Class,Home Office,Office Supplies,Supplies,Arizona,Phoenix,400.134,2,0.05,20.006700000000002,159.99330000000003,79.99665000000002
102,Standard Class,Home Office,Furniture,Furnishings,Illinois,Park Ridge,1166.8054,7,0.05,58.340270000000004,541.65973,77.37996142857142
103,Standard Class,Corporate,Furniture,Bookcases,Texas,Amarillo,421.568,2,0.05,21.078400000000002,158.9216,79.4608
104,Second Class,Consumer,Office Supplies,Binders,Illinois,Chicago,192.6882,3,0.05,9.63441,170.36559,56.78853
105,First Class,Home Office,Furniture,Bookcases,California,Los Angeles,724.41,5,0.05,36.2205,143.77949999999998,28.755899999999997
106,Second Class,Consumer,Furniture,Tables,Tennessee,Memphis,464.823,3,0.05,23.24115,156.75885,52.25295
107,Standard Class,Corporate,Office Supplies,Binders,Colorado,Parker,217.7,2,0.05,10.885,169.115,84.5575
108,Standard Class,Corporate,Office Supplies,Binders,Colorado,Parker,206.9136,2,0.05,10.345680000000002,169.65431999999998,84.82715999999999
109,Standard Class,Corporate,Office Supplies,Binders,Colorado,Parker,184.2768,3,0.05,9.213840000000001,170.78616,56.92872
110,Standard Class,Consumer,Office Supplies,Storage,Texas,Houston,335.48159999999996,2,0.05,16.774079999999998,163.22591999999997,81.61295999999999
111,Standard Class,Consumer,Office Supplies,Binders,Texas,Houston,215.28,9,0.05,10.764000000000001,169.236,18.804
112,First Class,Consumer,Technology,Phones,California,Los Angeles,247.5906,3,0.05,12.37953,167.62047,55.873490000000004
113,Standard Class,Consumer,Office Supplies,Storage,Pennsylvania,Philadelphia,223.60320000000002,3,0.05,11.18016,168.81984,56.27328
114,Standard Class,Consumer,Office Supplies,Supplies,Pennsylvania,Philadelphia,1416.1538,1,0.05,70.80769000000001,529.19231,529.19231
115,Second Class,Consumer,Office Supplies,Binders,Illinois,Chicago,290.8016,7,0.05,14.540080000000001,165.45992,23.63713142857143
116,Standard Class,Consumer,Office Supplies,Storage,Ohio,Springfield,1392.3006,9,0.05,69.61503,530.3849700000001,58.93166333333334
117,Standard Class,Consumer,Furniture,Furnishings,Texas,Fort Worth,330.4048,4,0.05,16.52024,163.47976000000003,40.86994000000001
118,Second Class,Corporate,Office Supplies,Binders,Illinois,Chicago,208.41,3,0.05,10.4205,169.5795,56.5265
119,Second Class,Corporate,Office Supplies,Supplies,Illinois,Chicago,190.464,5,0.05,9.523200000000001,170.4768,34.09536
120,Second Class,Consumer,Furniture,Chairs,California,San Francisco,1301.568,2,0.05,65.0784,114.9216,57.4608
121,Standard Class,Consumer,Furniture,Tables,California,Los Angeles,2152.728,4,0.05,107.63640000000001,492.3636,123.0909
122,First Class,Consumer,Office Supplies,Fasteners,Washington,Seattle,183.96,2,0.05,9.198,170.802,85.401
123,Standard Class,Corporate,Furniture,Chairs,Washington,Seattle,631.152,3,0.05,31.557600000000004,148.44240000000005,49.480800000000016
124,Standard Class,Consumer,Furniture,Furnishings,Illinois,Chicago,194.5068,1,0.05,9.725340000000001,170.27466,170.27466
125,Standard Class,Consumer,Office Supplies,Binders,Colorado,Denver,191.5311,7,0.05,9.576555,170.423445,24.346206428571428
126,Standard Class,Consumer,Technology,Phones,Oregon,Salem,284.9202,2,0.05,14.246010000000002,165.75399000000002,82.87699500000001
127,Standard Class,Consumer,Office Supplies,Binders,Oregon,Salem,209.7171,3,0.05,10.485855,169.51414499999998,56.504715
128,Standard Class,Consumer,Technology,Phones,Pennsylvania,Philadelphia,352.77840000000003,3,0.05,17.638920000000002,162.36108000000002,54.120360000000005
129,Standard Class,Consumer,Technology,Phones,Pennsylvania,Philadelphia,1209.7304,4,0.05,60.48652,539.51348,134.87837
130,Standard Class,Consumer,Office Supplies,Binders,Florida,Tampa,192.7518,3,0.05,9.637590000000001,170.36241,56.787470000000006
131,Standard Class,Consumer,Office Supplies,Binders,Florida,Tampa,254.8592,4,0.05,12.74296,167.25704,41.81426
132,Standard Class,Consumer,Office Supplies,Binders,Pennsylvania,Philadelphia,185.9076,2,0.05,9.29538,170.70462,85.35231
133,Standard Class,Consumer,Technology,Phones,Pennsylvania,Philadelphia,245.3058,2,0.05,12.26529,167.73471,83.867355
134,Second Class,Corporate,Technology,Phones,Pennsylvania,Philadelphia,1486.8843000000002,9,0.05,74.344215,525.6557850000002,58.40619833333335
135,Second Class,Consumer,Office Supplies,Binders,Ohio,Grove City,186.4448,2,0.05,9.322239999999999,170.67776,85.33888
136,Standard Class,Consumer,Office Supplies,Binders,Illinois,Chicago,203.463,5,0.05,10.17315,169.82685,33.96537
137,Second Class,Consumer,Office Supplies,Storage,Colorado,Aurora,475.10310000000004,3,0.05,23.755155000000002,156.244845,52.081615
138,Standard Class,Consumer,Office Supplies,Binders,Colorado,Aurora,212.7288,3,0.05,10.63644,169.36356,56.45452
139,Standard Class,Consumer,Office Supplies,Binders,Ohio,Columbus,185.9724,2,0.05,9.29862,170.70138,85.35069
140,Same Day,Home Office,Furniture,Chairs,Illinois,Aurora,931.4699999999999,2,0.05,46.573499999999996,133.4265,66.71325
141,Same Day,Home Office,Office Supplies,Binders,Illinois,Aurora,185.77,2,0.05,9.2885,170.7115,85.35575
142,Standard Class,Consumer,Office Supplies,Storage,Texas,Arlington,1459.845,14,0.05,72.99225,527.00775,37.643410714285714
143,Standard Class,Consumer,Furniture,Tables,Texas,Arlington,1636.9144999999999,5,0.05,81.845725,518.154275,103.630855
144,Standard Class,Consumer,Office Supplies,Binders,Texas,Arlington,186.9462,3,0.05,9.34731,170.65269,56.88423
145,Standard Class,Home Office,Furniture,Furnishings,Illinois,Chicago,218.3616,3,0.05,10.918080000000002,169.08192,56.36064
146,Standard Class,Home Office,Furniture,Tables,Illinois,Chicago,360.8155,1,0.05,18.040775,161.959225,161.959225
147,Standard Class,Consumer,Office Supplies,Appliances,Texas,Tyler,190.08,3,0.05,9.504000000000001,170.496,56.832
148,Standard Class,Consumer,Furniture,Furnishings,Texas,Tyler,303.786,3,0.05,15.189300000000001,164.8107,54.9369
149,Standard Class,Consumer,Office Supplies,Binders,Texas,Tyler,1103.2335,3,0.05,55.161675,544.8383249999999,181.61277499999997
150,Same Day,Corporate,Technology,Machines,North Carolina,Burlington,12839.9704,4,0.05,641.9985200000001,358.0014799999999,89.50036999999998
151,First Class,Home Office,Office Supplies,Binders,Pennsylvania,Chester,212.2192,2,0.05,10.61096,169.38904,84.69452
152,First Class,Home Office,Office Supplies,Binders,Pennsylvania,Chester,188.32319999999999,3,0.05,9.41616,170.58384,56.86128
153,Standard Class,Consumer,Furniture,Tables,California,Long Beach,563.7837,3,0.05,28.189185,151.810815,50.603604999999995
154,First Class,Consumer,Furniture,Bookcases,New York,New York City,1594.4099999999999,5,0.05,79.7205,520.2794999999999,104.05589999999998
155,First Class,Consumer,Furniture,Tables,New York,Oceanside,1153.3776,2,0.05,57.66888,542.33112,271.16556
156,Standard Class,Home Office,Office Supplies,Storage,Illinois,Naperville,517.5108,3,0.05,25.87554,154.12446,51.37482
157,Standard Class,Home Office,Office Supplies,Binders,Illinois,Naperville,189.027,2,0.05,9.45135,170.54865,85.274325
158,Standard Class,Consumer,Office Supplies,Supplies,Texas,Dallas,242.46800000000002,5,0.05,12.123400000000002,167.8766,33.57532
159,Same Day,Corporate,Furniture,Tables,California,San Diego,775.476,10,0.05,38.7738,141.2262,14.122620000000001
160,Standard Class,Corporate,Furniture,Tables,Florida,Jacksonville,1150.7564,4,0.05,57.53782,542.46218,135.615545
161,Standard Class,Consumer,Technology,Phones,Ohio,Columbus,314.9775,3,0.05,15.748875000000002,164.251125,54.750375
162,Second Class,Consumer,Office Supplies,Binders,Ohio,Columbus,234.519,5,0.05,11.725950000000001,168.27405,33.65481
163,Second Class,Consumer,Technology,Accessories,Ohio,Columbus,206.7,2,0.05,10.335,169.665,84.8325
164,Second Class,Consumer,Furniture,Bookcases,Ohio,Columbus,231.1056,1,0.05,11.555280000000002,168.44472,168.44472
165,Standard Class,Consumer,Office Supplies,Binders,Pennsylvania,Philadelphia,185.5968,3,0.05,9.27984,170.72016,56.90672
166,Standard Class,Consumer,Furniture,Chairs,Pennsylvania,Philadelphia,1408.465,5,0.05,70.42325,109.57675,21.91535
167,Standard Class,Consumer,Office Supplies,Binders,Pennsylvania,Philadelphia,233.8824,3,0.05,11.69412,168.30588,56.10196
168,Standard Class,Corporate,Technology,Machines,Florida,Tampa,976.9745,1,0.05,48.848725,551.1512749999999,551.1512749999999
169,Second Class,Consumer,Office Supplies,Binders,Texas,Tyler,310.5192,4,0.05,15.525960000000001,164.47404,41.11851
170,Standard Class,Corporate,Office Supplies,Binders,Pennsylvania,Lancaster,260.83799999999997,6,0.05,13.041899999999998,166.95809999999997,27.826349999999994
171,First Class,Home Office,Office Supplies,Binders,Pennsylvania,Philadelphia,2902.45,5,0.05,145.1225,854.8774999999998,170.97549999999995
172,First Class,Home Office,Technology,Phones,Pennsylvania,Philadelphia,507.57899999999995,3,0.05,25.37895,154.62105,51.54035
173,Standard Class,Home Office,Office Supplies,Binders,Pennsylvania,Philadelphia,190.0164,4,0.05,9.500820000000001,170.49918,42.624795
174,First Class,Corporate,Office Supplies,Binders,Ohio,Springfield,195.4336,2,0.05,9.771680000000002,170.22832,85.11416
175,First Class,Consumer,Office Supplies,Binders,Texas,Garland,230.424,4,0.05,11.5212,168.4788,42.1197
176,Standard Class,Corporate,Furniture,Tables,Texas,San Antonio,298.4742,2,0.05,14.92371,165.07629,82.538145
177,Standard Class,Corporate,Furniture,Chairs,Texas,San Antonio,1034.94,4,0.05,51.74700000000001,128.2530000000001,32.063250000000025
178,Standard Class,Corporate,Office Supplies,Binders,Texas,San Antonio,203.1336,3,0.05,10.156680000000001,169.84332,56.61444
179,Standard Class,Corporate,Office Supplies,Storage,Texas,Dallas,193.804,1,0.05,9.6902,170.3098,170.3098
180,Standard Class,Home Office,Office Supplies,Binders,Pennsylvania,Philadelphia,231.5112,6,0.05,11.575560000000001,168.42444,28.07074
181,First Class,Consumer,Furniture,Tables,Arizona,Mesa,1197.6108,3,0.05,59.880539999999996,540.1194599999999,180.03981999999996
182,Standard Class,Home Office,Furniture,Furnishings,Pennsylvania,Philadelphia,709.4002,7,0.05,35.47001,144.52999,20.647141428571427
183,Standard Class,Home Office,Furniture,Tables,Pennsylvania,Philadelphia,3684.916,12,0.05,184.24580000000003,815.7542,67.97951666666667
184,Standard Class,Consumer,Furniture,Bookcases,Texas,Round Rock,270.4488,2,0.05,13.522440000000001,166.47756,83.23878
185,Second Class,Consumer,Office Supplies,Binders,Arizona,Phoenix,187.92,2,0.05,9.395999999999999,170.604,85.302
186,First Class,Home Office,Office Supplies,Storage,New York,New York City,681.81,3,0.05,34.0905,145.90949999999995,48.636499999999984
187,Second Class,Consumer,Technology,Phones,Pennsylvania,Philadelphia,335.25,3,0.05,16.7625,163.2375,54.4125
188,Second Class,Consumer,Office Supplies,Binders,Pennsylvania,Philadelphia,212.2192,2,0.05,10.61096,169.38904,84.69452
189,Standard Class,Consumer,Office Supplies,Binders,Oregon,Portland,181.872,2,0.05,9.0936,170.9064,85.4532
190,First Class,Consumer,Office Supplies,Binders,North Carolina,Wilmington,185.9076,2,0.05,9.29538,170.70462,85.35231
191,Same Day,Consumer,Office Supplies,Binders,Texas,Houston,183.0024,2,0.05,9.15012,170.84988,85.42494
192,Same Day,Consumer,Furniture,Tables,New York,New York City,1981.6571999999999,7,0.05,99.08286,500.91714,71.55959142857144
193,First Class,Consumer,Office Supplies,Binders,Arizona,Scottsdale,187.9218,3,0.05,9.39609,170.60391,56.86797000000001
194,Second Class,Home Office,Technology,Phones,Ohio,Springfield,205.4604,2,0.05,10.27302,169.72698,84.86349
195,First Class,Consumer,Office Supplies,Binders,Ohio,Cincinnati,184.5552,2,0.05,9.227760000000002,170.77224,85.38612
196,First Class,Consumer,Office Supplies,Binders,Ohio,Cincinnati,205.0068,3,0.05,10.250340000000001,169.74966,56.583220000000004
197,First Class,Corporate,Office Supplies,Appliances,Illinois,Chicago,804.624,9,0.05,40.2312,559.7688,62.19653333333334
198,Standard Class,Home Office,Furniture,Chairs,Illinois,Rockford,452.79,14,0.05,22.6395,157.3605,11.240035714285714
199,Standard Class,Consumer,Furniture,Furnishings,Florida,Miami,286.19849999999997,3,0.05,14.309925,165.69007499999998,55.23002499999999
200,First Class,Corporate,Furniture,Furnishings,Pennsylvania,Philadelphia,377.9452,2,0.05,18.89726,161.10273999999998,80.55136999999999
201,Standard Class,Consumer,Furniture,Chairs,Texas,Houston,317.0244,2,0.05,15.851220000000001,164.14878,82.07439
202,Standard Class,Corporate,Office Supplies,Fasteners,Ohio,Toledo,192.6294,7,0.05,9.63147,170.36853,24.338361428571428
203,Standard Class,Corporate,Technology,Phones,Ohio,Toledo,326.4978,3,0.05,16.32489,163.67510999999996,54.55836999999999
204,Standard Class,Corporate,Office Supplies,Binders,Ohio,Toledo,281.695,5,0.05,14.08475,165.91525000000001,33.18305
205,Second Class,Consumer,Office Supplies,Supplies,Texas,Brownsville,182.0928,1,0.05,9.104640000000002,170.89536,170.89536
206,Standard Class,Home Office,Office Supplies,Binders,Pennsylvania,Philadelphia,223.6384,4,0.05,11.18192,168.81808,42.20452
207,Standard Class,Consumer,Office Supplies,Binders,Arizona,Mesa,190.868,5,0.05,9.5434,170.4566,34.09132
208,Standard Class,Consumer,Office Supplies,Binders,Arizona,Mesa,187.7168,7,0.05,9.38584,170.61416,24.37345142857143
209,Standard Class,Consumer,Furniture,Tables,New York,Yonkers,1701.5128,8,0.05,85.07564,514.92436,64.365545
210,Standard Class,Home Office,Office Supplies,Binders,North Carolina,Charlotte,244.4112,7,0.05,12.22056,167.77944,23.96849142857143
211,Standard Class,Consumer,Office Supplies,Binders,Texas,Houston,187.4085,3,0.05,9.370425000000001,170.629575,56.876524999999994
212,Standard Class,Consumer,Office Supplies,Binders,Texas,Houston,187.9218,3,0.05,9.39609,170.60391,56.86797000000001
213,Standard Class,Consumer,Office Supplies,Storage,Texas,Houston,297.0684,6,0.05,14.85342,165.14658,27.52443
214,Standard Class,Consumer,Furniture,Furnishings,Texas,Houston,183.0846,2,0.05,9.15423,170.84577,85.422885
215,Standard Class,Consumer,Office Supplies,Binders,Texas,Houston,208.028,5,0.05,10.4014,169.5986,33.91972
216,Standard Class,Consumer,Office Supplies,Binders,Texas,Houston,183.2184,2,0.05,9.16092,170.83908,85.41954
217,Second Class,Consumer,Furniture,Bookcases,California,Encinitas,312.5212,1,0.05,15.626060000000003,164.37394000000003,164.37394000000003
218,Standard Class,Home Office,Office Supplies,Storage,Pennsylvania,Philadelphia,327.972,4,0.05,16.3986,163.6014,40.90035
219,First Class,Home Office,Office Supplies,Storage,Virginia,Harrisonburg,302.48,2,0.05,15.124000000000002,164.876,82.438
220,Second Class,Consumer,Office Supplies,Storage,New York,New York City,452.94,3,0.05,22.647000000000002,157.353,52.451
221,Standard Class,Consumer,Office Supplies,Binders,Illinois,Bloomington,192.94,4,0.05,9.647,170.353,42.58825
