Category,City,Country,Discount,Number of Records,Postal Code,Profit,Quantity,Sales,Segment,Ship Mode,State,Sub-Category
Furniture,Chicago,United States,0.6,1,60610,-356.728,5,419.68,Consumer,Second Class,Illinois,Furnishings
Furniture,Chicago,United States,0.6,1,60610,-4.6752,3,11.688,Consumer,Second Class,Illinois,Furnishings
Furniture,Chicago,United States,0.5,1,60610,-120.513,5,177.225,Consumer,Second Class,Illinois,Tables
Furniture,Chicago,United States,0.6,1,60610,-2.8308,3,4.044,Consumer,Second Class,Illinois,Furnishings
Furniture,Chicago,United States,0.6,1,60623,-8.4924,9,12.132,Corporate,Standard Class,Illinois,Furnishings
Office Supplies,Chicago,United States,0.2,1,60623,-19.5624,2,82.368,Corporate,Standard Class,Illinois,Storage
Office Supplies,Pasadena,United States,0.8,1,77506,-4.466,2,1.624,Corporate,Standard Class,Texas,Appliances
Technology,Houston,United States,0.4,1,77036,-509.997,3,3059.982,Corporate,Second Class,Texas,Machines
Technology,Houston,United States,0.4,1,77036,-251.9958,7,2519.958,Corporate,Second Class,Texas,Machines
Office Supplies,Cincinnati,United States,0.2,1,45231,-7.4416,1,37.208,Corporate,Standard Class,Ohio,Storage
Office Supplies,Houston,United States,0.8,1,77070,-3.432,5,2.08,Consumer,Second Class,Texas,Binders
Office Supplies,Tamarac,United States,0.7,1,33319,-169.372,7,254.058,Corporate,Second Class,Florida,Binders
Office Supplies,Tamarac,United States,0.2,1,33319,-204.3145,5,961.48,Corporate,Second Class,Florida,Supplies
Furniture,Columbus,United States,0.5,1,43229,-48.7032,3,86.97,Home Office,Second Class,Ohio,Bookcases
Furniture,Colorado Springs,United States,0.2,1,80906,-24.5646,3,218.352,Corporate,First Class,Colorado,Furnishings
Office Supplies,Colorado Springs,United States,0.7,1,80906,-62.88,5,78.6,Corporate,First Class,Colorado,Binders
Furniture,Chicago,United States,0.5,1,60623,-131.445,3,219.075,Consumer,Standard Class,Illinois,Tables
Technology,Philadelphia,United States,0.4,1,19143,-67.8762,3,290.898,Consumer,First Class,Pennsylvania,Phones
Furniture,Philadelphia,United States,0.3,1,19143,-258.5016,4,786.744,Consumer,First Class,Pennsylvania,Chairs
Office Supplies,Philadelphia,United States,0.7,1,19143,-27.6936,6,37.764,Consumer,First Class,Pennsylvania,Binders
Technology,Philadelphia,United States,0.4,1,19134,-20.7,2,82.8,Consumer,Second Class,Pennsylvania,Phones
Office Supplies,Philadelphia,United States,0.7,1,19134,-13.816,2,20.724,Consumer,Second Class,Pennsylvania,Binders
Office Supplies,Philadelphia,United States,0.7,1,19134,-3.4272,3,4.896,Consumer,Second Class,Pennsylvania,Binders
Furniture,San Francisco,United States,0.2,1,94122,-17.4588,3,698.352,Corporate,Standard Class,California,Tables
Office Supplies,Philadelphia,United States,0.7,1,19140,-407.976,10,509.97,Corporate,Second Class,Pennsylvania,Binders
Office Supplies,Austin,United States,0.2,1,78745,-2.22,4,88.8,Consumer,Standard Class,Texas,Storage
Furniture,New York City,United States,0.2,1,10035,-4.8588,6,388.704,Consumer,Standard Class,New York,Bookcases
Office Supplies,Tucson,United States,0.7,1,85705,-5.712,5,8.16,Consumer,Standard Class,Arizona,Binders
Technology,Tucson,United States,0.2,1,85705,-29.94,10,479.04,Consumer,Standard Class,Arizona,Accessories
Furniture,Franklin,United States,0.3,1,02038,-297.6848,7,1488.424,Corporate,Standard Class,Massachusetts,Tables
Office Supplies,Houston,United States,0.8,1,77095,-20.3322,3,8.652,Consumer,Standard Class,Texas,Appliances
Office Supplies,Houston,United States,0.8,1,77095,-18.8728,4,12.176,Consumer,Standard Class,Texas,Binders
Furniture,Pembroke Pines,United States,0.45,1,33024,-157.0095,3,375.4575,Consumer,Standard Class,Florida,Tables
Technology,Pembroke Pines,United States,0.2,1,33024,-1.0497,3,83.976,Consumer,Standard Class,Florida,Accessories
Technology,Philadelphia,United States,0.7,1,19140,-337.638,4,482.34,Corporate,Standard Class,Pennsylvania,Machines
Office Supplies,Peoria,United States,0.8,1,61604,-20.5623,3,12.462,Corporate,Second Class,Illinois,Binders
Furniture,Houston,United States,0.32,1,77036,-317.1528,4,2396.2656,Consumer,Second Class,Texas,Bookcases
Office Supplies,Houston,United States,0.2,1,77036,-32.784,4,131.136,Consumer,Second Class,Texas,Storage
Furniture,San Francisco,United States,0.2,1,94110,-112.9527,7,1004.024,Consumer,Standard Class,California,Tables
Furniture,San Francisco,United States,0.2,1,94110,-18.4548,2,113.568,Consumer,Standard Class,California,Chairs
Office Supplies,Gastonia,United States,0.7,1,28052,-145.3508,2,189.588,Home Office,Standard Class,North Carolina,Binders
Office Supplies,Gastonia,United States,0.2,1,28052,-0.7748,2,4.768,Home Office,Standard Class,North Carolina,Storage
Office Supplies,Jacksonville,United States,0.7,1,32216,-3.6892,2,4.812,Consumer,Standard Class,Florida,Binders
Technology,Jacksonville,United States,0.2,1,32216,-18.585,5,247.8,Consumer,Standard Class,Florida,Accessories
Furniture,Akron,United States,0.4,1,44312,-75.8304,2,284.364,Corporate,Standard Class,Ohio,Tables
Furniture,Concord,United States,0.2,1,94521,-24.294,2,129.568,Consumer,Standard Class,California,Chairs
Furniture,Decatur,United States,0.3,1,62521,-96.1146,3,747.558,Consumer,Standard Class,Illinois,Chairs
Furniture,Phoenix,United States,0.5,1,85023,-814.4832,6,1272.63,Home Office,Standard Class,Arizona,Tables
Office Supplies,Phoenix,United States,0.7,1,85023,-20.889,5,28.485,Home Office,Standard Class,Arizona,Binders
Office Supplies,Phoenix,United States,0.2,1,85023,-34.758,2,185.376,Home Office,Standard Class,Arizona,Supplies
Furniture,Park Ridge,United States,0.6,1,60068,-312.0614,7,254.744,Home Office,Standard Class,Illinois,Furnishings
Furniture,Amarillo,United States,0.32,1,79109,-36.2352,2,205.3328,Corporate,Standard Class,Texas,Bookcases
Office Supplies,Chicago,United States,0.8,1,60610,-7.9002,3,4.788,Consumer,Second Class,Illinois,Binders
Furniture,Los Angeles,United States,0.15,1,90045,-30.245,5,514.165,Home Office,First Class,California,Bookcases
Furniture,Memphis,United States,0.4,1,38109,-94.941,3,189.882,Consumer,Second Class,Tennessee,Tables
Office Supplies,Parker,United States,0.7,1,80134,-15.08,2,22.62,Corporate,Standard Class,Colorado,Binders
Office Supplies,Parker,United States,0.7,1,80134,-11.9616,2,14.952,Corporate,Standard Class,Colorado,Binders
Office Supplies,Parker,United States,0.7,1,80134,-1.9008,3,2.376,Corporate,Standard Class,Colorado,Binders
Office Supplies,Houston,United States,0.2,1,77041,-25.9136,2,129.568,Consumer,Standard Class,Texas,Storage
Office Supplies,Houston,United States,0.8,1,77041,-21.168,9,14.112,Consumer,Standard Class,Texas,Binders
Technology,Los Angeles,United States,0.2,1,90032,-12.4146,3,55.176,Consumer,First Class,California,Phones
Office Supplies,Philadelphia,United States,0.2,1,19134,-7.2672,3,36.336,Consumer,Standard Class,Pennsylvania,Storage
Office Supplies,Philadelphia,United States,0.2,1,19134,-149.9058,1,666.248,Consumer,Standard Class,Pennsylvania,Supplies
Office Supplies,Chicago,United States,0.8,1,60653,-68.1856,7,42.616,Consumer,Second Class,Illinois,Binders
Office Supplies,Springfield,United States,0.2,1,45503,-145.5246,9,646.776,Consumer,Standard Class,Ohio,Storage
Furniture,Fort Worth,United States,0.6,1,76106,-84.2928,4,66.112,Consumer,Standard Class,Texas,Furnishings
Office Supplies,Chicago,United States,0.8,1,60653,-17.046,3,11.364,Corporate,Second Class,Illinois,Binders
Office Supplies,Chicago,United States,0.2,1,60653,-1.744,5,8.72,Corporate,Second Class,Illinois,Supplies
Furniture,San Francisco,United States,0.2,1,94110,0,2,1121.568,Consumer,Second Class,California,Chairs
Furniture,Los Angeles,United States,0.2,1,90045,-217.048,4,1335.68,Consumer,Standard Class,California,Tables
Office Supplies,Seattle,United States,0,1,98105,0,2,3.96,Consumer,First Class,Washington,Fasteners
Furniture,Seattle,United States,0.2,1,98105,0,3,451.152,Corporate,Standard Class,Washington,Chairs
Furniture,Chicago,United States,0.6,1,60610,-5.7148,1,8.792,Consumer,Standard Class,Illinois,Furnishings
Office Supplies,Denver,United States,0.7,1,80219,-4.7481,7,6.783,Consumer,Standard Class,Colorado,Binders
Technology,Salem,United States,0.2,1,97301,-20.1362,2,84.784,Consumer,Standard Class,Oregon,Phones
Office Supplies,Salem,United States,0.7,1,97301,-12.8961,3,16.821,Consumer,Standard Class,Oregon,Binders
Technology,Philadelphia,United States,0.4,1,19120,-28.7964,3,143.982,Consumer,Standard Class,Pennsylvania,Phones
Technology,Philadelphia,United States,0.4,1,19120,-115.3544,4,494.376,Consumer,Standard Class,Pennsylvania,Phones
Office Supplies,Tampa,United States,0.7,1,33614,-5.5338,3,7.218,Consumer,Standard Class,Florida,Binders
Office Supplies,Tampa,United States,0.7,1,33614,-31.6712,4,43.188,Consumer,Standard Class,Florida,Binders
Office Supplies,Philadelphia,United States,0.7,1,19134,-2.6256,2,3.282,Consumer,Standard Class,Pennsylvania,Binders
Technology,Philadelphia,United States,0.4,1,19134,-10.1178,2,55.188,Consumer,Standard Class,Pennsylvania,Phones
Technology,Philadelphia,United States,0.4,1,19143,-157.9383,9,728.946,Corporate,Second Class,Pennsylvania,Phones
Office Supplies,Grove City,United States,0.7,1,43123,-2.7968,2,3.648,Consumer,Second Class,Ohio,Binders
Office Supplies,Chicago,United States,0.8,1,60610,-14.773,5,8.69,Consumer,Standard Class,Illinois,Binders
Office Supplies,Aurora,United States,0.2,1,80013,-51.7191,3,243.384,Consumer,Second Class,Colorado,Storage
Office Supplies,Aurora,United States,0.7,1,80013,-13.8468,3,18.882,Consumer,Standard Class,Colorado,Binders
Office Supplies,Columbus,United States,0.7,1,43229,-2.6544,2,3.318,Consumer,Standard Class,Ohio,Binders
Furniture,Aurora,United States,0.3,1,60505,-50.098,2,701.372,Home Office,Same Day,Illinois,Chairs
Office Supplies,Aurora,United States,0.8,1,60505,-3.462,2,2.308,Home Office,Same Day,Illinois,Binders
Office Supplies,Arlington,United States,0.2,1,76017,-135.765,14,724.08,Consumer,Standard Class,Texas,Storage
Furniture,Arlington,United States,0.3,1,76017,-118.1295,5,918.785,Consumer,Standard Class,Texas,Tables
Office Supplies,Arlington,United States,0.8,1,76017,-4.2222,3,2.724,Consumer,Standard Class,Texas,Binders
Furniture,Chicago,United States,0.6,1,60653,-14.3856,3,23.976,Home Office,Standard Class,Illinois,Furnishings
Furniture,Chicago,United States,0.5,1,60653,-71.8905,1,108.925,Home Office,Standard Class,Illinois,Tables
Office Supplies,Tyler,United States,0.8,1,75701,-7.392,3,2.688,Consumer,Standard Class,Texas,Appliances
Furniture,Tyler,United States,0.6,1,75701,-41.262,3,82.524,Consumer,Standard Class,Texas,Furnishings
Office Supplies,Tyler,United States,0.8,1,75701,-320.2395,3,182.994,Consumer,Standard Class,Texas,Binders
Technology,Burlington,United States,0.5,1,27217,-3839.9904,4,7999.98,Corporate,Same Day,North Carolina,Machines
Office Supplies,Chester,United States,0.7,1,19013,-13.6312,2,18.588,Home Office,First Class,Pennsylvania,Binders
Office Supplies,Chester,United States,0.7,1,19013,-3.4272,3,4.896,Home Office,First Class,Pennsylvania,Binders
Furniture,Long Beach,United States,0.2,1,90805,-13.8717,3,369.912,Consumer,Standard Class,California,Tables
Furniture,New York City,United States,0.2,1,10035,-110.49,5,883.92,Consumer,First Class,New York,Bookcases
Furniture,Oceanside,United States,0.4,1,11572,-153.3456,2,400.032,Consumer,First Class,New York,Tables
Office Supplies,Naperville,United States,0.2,1,60540,-64.7748,3,272.736,Home Office,Standard Class,Illinois,Storage
Office Supplies,Naperville,United States,0.8,1,60540,-5.487,2,3.54,Home Office,Standard Class,Illinois,Binders
Office Supplies,Dallas,United States,0.2,1,75220,-10.948,5,51.52,Consumer,Standard Class,Texas,Supplies
Furniture,San Diego,United States,0.2,1,92105,-28.356,10,567.12,Corporate,Same Day,California,Tables
Furniture,Jacksonville,United States,0.45,1,32216,-167.3184,4,383.438,Corporate,Standard Class,Florida,Tables
Technology,Columbus,United States,0.4,1,43229,-26.9955,3,107.982,Consumer,Standard Class,Ohio,Phones
Office Supplies,Columbus,United States,0.7,1,43229,-22.449,5,32.07,Consumer,Second Class,Ohio,Binders
Technology,Columbus,United States,0.2,1,43229,-2.7,2,24,Consumer,Second Class,Ohio,Accessories
Furniture,Columbus,United States,0.5,1,43229,-15.6156,1,35.49,Consumer,Second Class,Ohio,Bookcases
Office Supplies,Philadelphia,United States,0.7,1,19140,-2.4288,3,3.168,Consumer,Standard Class,Pennsylvania,Binders
Furniture,Philadelphia,United States,0.3,1,19140,0,5,1228.465,Consumer,Standard Class,Pennsylvania,Chairs
Office Supplies,Philadelphia,United States,0.7,1,19140,-22.7964,3,31.086,Consumer,Standard Class,Pennsylvania,Binders
Technology,Tampa,United States,0.5,1,33614,-111.4995,1,265.475,Corporate,Standard Class,Florida,Machines
Office Supplies,Tyler,United States,0.8,1,75701,-79.3352,4,51.184,Consumer,Second Class,Texas,Binders
Office Supplies,Lancaster,United States,0.7,1,17602,-35.928,6,44.91,Corporate,Standard Class,Pennsylvania,Binders
Office Supplies,Philadelphia,United States,0.7,1,19143,-760.98,5,1141.47,Home Office,First Class,Pennsylvania,Binders
Technology,Philadelphia,United States,0.4,1,19143,-46.797,3,280.782,Home Office,First Class,Pennsylvania,Phones
Office Supplies,Philadelphia,United States,0.7,1,19120,-4.1244,4,5.892,Home Office,Standard Class,Pennsylvania,Binders
Office Supplies,Springfield,United States,0.7,1,45503,-6.5296,2,8.904,Corporate,First Class,Ohio,Binders
Office Supplies,Garland,United States,0.8,1,75043,-32.088,4,18.336,Consumer,First Class,Texas,Binders
Furniture,San Antonio,United States,0.3,1,78207,-18.5562,2,99.918,Corporate,Standard Class,Texas,Tables
Furniture,San Antonio,United States,0.3,1,78207,-56.996,4,797.944,Corporate,Standard Class,Texas,Chairs
Office Supplies,San Antonio,United States,0.8,1,78207,-14.5656,3,8.568,Corporate,Standard Class,Texas,Binders
Office Supplies,Dallas,United States,0.2,1,75220,-0.812,1,12.992,Corporate,Standard Class,Texas,Storage
Office Supplies,Philadelphia,United States,0.7,1,19120,-21.7932,6,29.718,Home Office,Standard Class,Pennsylvania,Binders
Furniture,Mesa,United States,0.5,1,85204,-204.4458,3,393.165,Consumer,First Class,Arizona,Tables
Furniture,Philadelphia,United States,0.2,1,19120,-12.9122,7,516.488,Home Office,Standard Class,Pennsylvania,Furnishings
Furniture,Philadelphia,United States,0.4,1,19120,-619.596,12,2065.32,Home Office,Standard Class,Pennsylvania,Tables
Furniture,Round Rock,United States,0.32,1,78664,-11.596,2,78.8528,Consumer,Standard Class,Texas,Bookcases
Office Supplies,Phoenix,United States,0.7,1,85023,-3.168,2,4.752,Consumer,Second Class,Arizona,Binders
Office Supplies,New York City,United States,0,1,10011,0,3,501.81,Home Office,First Class,New York,Storage
Technology,Philadelphia,United States,0.4,1,19134,-31.05,3,124.2,Consumer,Second Class,Pennsylvania,Phones
Office Supplies,Philadelphia,United States,0.7,1,19134,-13.6312,2,18.588,Consumer,Second Class,Pennsylvania,Binders
Office Supplies,Portland,United States,0.7,1,97206,-0.792,2,1.08,Consumer,Standard Class,Oregon,Binders
Office Supplies,Wilmington,United States,0.7,1,28403,-2.6256,2,3.282,Consumer,First Class,North Carolina,Binders
Office Supplies,Houston,United States,0.8,1,77041,-1.8904,2,1.112,Consumer,Same Day,Texas,Binders
Furniture,New York City,United States,0.4,1,10024,-290.8752,7,1090.782,Consumer,Same Day,New York,Tables
Office Supplies,Scottsdale,United States,0.7,1,85254,-3.5208,3,4.401,Consumer,First Class,Arizona,Binders
Technology,Springfield,United States,0.4,1,45503,-9.8724,2,15.588,Home Office,Second Class,Ohio,Phones
Office Supplies,Cincinnati,United States,0.7,1,45231,-1.9272,2,2.628,Consumer,First Class,Ohio,Binders
Office Supplies,Cincinnati,United States,0.7,1,45231,-10.5798,3,14.427,Consumer,First Class,Ohio,Binders
Office Supplies,Chicago,United States,0.8,1,60610,-146.16,9,58.464,Corporate,First Class,Illinois,Appliances
Furniture,Rockford,United States,0.3,1,61107,-18.186,14,254.604,Home Office,Standard Class,Illinois,Chairs
Furniture,Miami,United States,0.2,1,33142,-3.8385,3,102.36,Consumer,Standard Class,Florida,Furnishings
Furniture,Philadelphia,United States,0.2,1,19134,-29.4812,2,168.464,Corporate,First Class,Pennsylvania,Furnishings
Furniture,Houston,United States,0.3,1,77095,-29.2524,2,107.772,Consumer,Standard Class,Texas,Chairs
Office Supplies,Toledo,United States,0.2,1,43615,-2.2134,7,10.416,Corporate,Standard Class,Ohio,Fasteners
Technology,Toledo,United States,0.4,1,43615,-27.7158,3,118.782,Corporate,Standard Class,Ohio,Phones
Office Supplies,Toledo,United States,0.7,1,43615,-46.225,5,55.47,Corporate,Standard Class,Ohio,Binders
Office Supplies,Brownsville,United States,0.2,1,78521,-0.3488,1,1.744,Consumer,Second Class,Texas,Supplies
Office Supplies,Philadelphia,United States,0.7,1,19143,-18.4624,4,25.176,Home Office,Standard Class,Pennsylvania,Binders
Office Supplies,Mesa,United States,0.7,1,85204,-4.598,5,6.27,Consumer,Standard Class,Arizona,Binders
Office Supplies,Mesa,United States,0.7,1,85204,-3.3488,7,4.368,Consumer,Standard Class,Arizona,Binders
Furniture,Yonkers,United States,0.4,1,10701,-264.9208,8,836.592,Consumer,Standard Class,New York,Tables
Office Supplies,Charlotte,United States,0.7,1,28205,-28.6272,7,35.784,Home Office,Standard Class,North Carolina,Binders
Office Supplies,Houston,United States,0.8,1,77041,-4.7145,3,2.694,Consumer,Standard Class,Texas,Binders
Office Supplies,Houston,United States,0.8,1,77041,-4.9878,3,2.934,Consumer,Standard Class,Texas,Binders
Office Supplies,Houston,United States,0.2,1,77041,-16.3644,6,100.704,Consumer,Standard Class,Texas,Storage
Furniture,Houston,United States,0.6,1,77041,-0.7566,2,2.328,Consumer,Standard Class,Texas,Furnishings
Office Supplies,Houston,United States,0.8,1,77041,-17.248,5,10.78,Consumer,Standard Class,Texas,Binders
Office Supplies,Houston,United States,0.8,1,77041,-2.0264,2,1.192,Consumer,Standard Class,Texas,Binders
Furniture,Encinitas,United States,0.15,1,92024,-12.6882,1,119.833,Consumer,Second Class,California,Bookcases
Office Supplies,Philadelphia,United States,0.2,1,19134,-23.364,4,124.608,Home Office,Standard Class,Pennsylvania,Storage
Office Supplies,Harrisonburg,United States,0,1,22801,0,2,122.48,Home Office,First Class,Virginia,Storage
Office Supplies,New York City,United States,0,1,10035,0,3,272.94,Consumer,Second Class,New York,Storage
Office Supplies,Bloomington,United States,0.8,1,61701,-7.764,4,5.176,Consumer,Standard Class,Illinois,Binders
Furniture,Coral Springs,United States,0.2,1,33065,-2.0988,1,55.968,Corporate,Same Day,Florida,Furnishings
Furniture,Houston,United States,0.3,1,77041,-4.1136,4,95.984,Consumer,Standard Class,Texas,Chairs
Office Supplies,Houston,United States,0.8,1,77041,-1850.9464,4,1088.792,Consumer,Standard Class,Texas,Binders
Office Supplies,Denver,United States,0.7,1,80219,-1.4352,3,1.872,Corporate,Standard Class,Colorado,Binders
Office Supplies,Denver,United States,0.2,1,80219,0,2,593.568,Corporate,Standard Class,Colorado,Storage
Office Supplies,Denver,United States,0.2,1,80219,-33.804,3,338.04,Corporate,Standard Class,Colorado,Storage
Furniture,Philadelphia,United States,0.3,1,19134,-48.4704,2,141.372,Corporate,Standard Class,Pennsylvania,Chairs
Office Supplies,Philadelphia,United States,0.7,1,19134,-2.3276,2,3.036,Corporate,Standard Class,Pennsylvania,Binders
Office Supplies,Philadelphia,United States,0.7,1,19134,-3.6024,1,4.503,Corporate,Standard Class,Pennsylvania,Binders
Technology,Philadelphia,United States,0.4,1,19134,-386.3916,7,1931.958,Corporate,Standard Class,Pennsylvania,Phones
Office Supplies,Boynton Beach,United States,0.7,1,33437,-29.94,5,37.425,Consumer,Same Day,Florida,Binders
Furniture,Boynton Beach,United States,0.2,1,33437,0,2,63.968,Consumer,Same Day,Florida,Furnishings
Technology,Chester,United States,0.4,1,19013,-8.379,3,35.91,Home Office,Standard Class,Pennsylvania,Phones
Office Supplies,Charlotte,United States,0.7,1,28205,-20.4468,3,27.882,Home Office,Second Class,North Carolina,Binders
Office Supplies,Charlotte,United States,0.2,1,28205,-47.2542,3,540.048,Home Office,Second Class,North Carolina,Storage
Office Supplies,Greenville,United States,0.7,1,27834,-14.0928,4,17.616,Corporate,Standard Class,North Carolina,Binders
Office Supplies,Chicago,United States,0.2,1,60623,-12.792,4,102.336,Corporate,Standard Class,Illinois,Storage
Office Supplies,Chicago,United States,0.8,1,60623,-126.8592,3,48.792,Corporate,Standard Class,Illinois,Appliances
Office Supplies,Chicago,United States,0.8,1,60623,-67.272,8,44.848,Corporate,Standard Class,Illinois,Binders
Furniture,Fort Worth,United States,0.3,1,76106,-88.784,5,388.43,Consumer,Same Day,Texas,Chairs
Technology,Fort Worth,United States,0.2,1,76106,-7.1991,1,63.992,Consumer,Same Day,Texas,Accessories
Office Supplies,Jacksonville,United States,0.7,1,32216,-13.363,1,17.43,Consumer,First Class,Florida,Binders
Office Supplies,Austin,United States,0.8,1,78745,-4.851,7,2.772,Consumer,Standard Class,Texas,Binders
Furniture,Pasadena,United States,0.2,1,91104,-8.0784,2,161.568,Consumer,First Class,California,Chairs
Furniture,Columbus,United States,0.3,1,43229,-13.3176,2,155.372,Consumer,Standard Class,Ohio,Chairs
Office Supplies,Deltona,United States,0.7,1,32725,-3.6288,6,5.184,Corporate,Standard Class,Florida,Binders
Office Supplies,Cincinnati,United States,0.7,1,45231,-4.1832,3,5.229,Consumer,Standard Class,Ohio,Binders
Office Supplies,Chicago,United States,0.8,1,60653,-30.555,6,17.46,Consumer,First Class,Illinois,Binders
Technology,Lorain,United States,0.4,1,44052,-0.6435,1,2.97,Home Office,Standard Class,Ohio,Phones
Office Supplies,Dallas,United States,0.8,1,75220,-1.728,3,1.08,Consumer,Standard Class,Texas,Binders
